indvar0(* 1),indvar0(* 2),indvar0(* 3),indvar0(* 4),stime0
0.000000, 4.654163, 0.622000, 0.000000, 01-Jan-2000
0.000000, 3.393490, 0.622000, 0.000000, 02-Jan-2000
0.000000, 4.654163, 0.674000, 0.000000, 03-Jan-2000
0.000000, 3.393490, 0.688000, 0.000000, 04-Jan-2000
0.000000, 3.010867, 0.688000, 0.000000, 05-Jan-2000
0.000000, 2.787194, 0.693000, 0.000000, 06-Jan-2000
0.000000, 2.743531, 0.693000, 0.000000, 07-Jan-2000
0.000000, 2.313224, 0.730000, 0.000000, 08-Jan-2000
0.000000, 2.313122, 0.746000, 0.000000, 09-Jan-2000
0.164776, 2.313122, 0.746000, 0.122923, 10-Jan-2000
0.164776, 2.256449, 0.618000, 0.101831, 11-Jan-2000
0.000000, 2.360653, 0.487000, 0.000000, 12-Jan-2000
0.000000, 2.360622, 0.487000, 0.000000, 13-Jan-2000
0.000000, 2.359082, 0.457000, 0.000000, 14-Jan-2000
0.000000, 2.335265, 0.349000, 0.000000, 15-Jan-2000
0.000000, 2.331878, 0.550000, 0.000000, 16-Jan-2000
0.000000, 2.331878, 0.643000, 0.000000, 17-Jan-2000
0.000000, 2.331878, 0.732000, 0.000000, 18-Jan-2000
0.004357, 2.331878, 0.880000, 0.003834, 19-Jan-2000
0.004357, 2.273765, 0.880000, 0.003834, 20-Jan-2000
0.000000, 2.062653, 0.708000, 0.000000, 21-Jan-2000
0.000000, 2.062653, 0.780000, 0.000000, 22-Jan-2000
0.017316, 2.062653, 0.850000, 0.014719, 23-Jan-2000
0.414316, 2.062653, 0.850000, 0.352169, 24-Jan-2000
0.397000, 2.079969, 0.396000, 0.157212, 25-Jan-2000
0.000000, 2.476969, 0.396000, 0.000000, 26-Jan-2000
0.000000, 2.476969, 0.403000, 0.000000, 27-Jan-2000
0.006388, 2.476969, 0.490000, 0.003130, 28-Jan-2000
0.012755, 2.476969, 0.558000, 0.007117, 29-Jan-2000
0.006367, 2.483357, 0.569000, 0.003623, 30-Jan-2000
0.457459, 2.489724, 0.569000, 0.260294, 31-Jan-2000
0.469092, 1.933520, 0.488000, 0.228917, 01-Feb-2000
0.028235, 2.264286, 0.529000, 0.014936, 02-Feb-2000
0.017684, 2.275918, 0.574000, 0.010150, 03-Feb-2000
0.001082, 2.292520, 0.657000, 0.000711, 04-Feb-2000
0.000000, 2.293602, 0.657000, 0.000000, 05-Feb-2000
0.000000, 2.293602, 0.472000, 0.000000, 06-Feb-2000
0.000000, 2.293602, 0.478000, 0.000000, 07-Feb-2000
0.001622, 2.293602, 0.478000, 0.000776, 08-Feb-2000
0.001622, 2.293602, 0.505000, 0.000819, 09-Feb-2000
0.000000, 2.295224, 0.547000, 0.000000, 10-Feb-2000
0.000000, 2.295224, 0.579000, 0.000000, 11-Feb-2000
0.000000, 2.295224, 0.619000, 0.000000, 12-Feb-2000
0.000000, 2.295224, 0.684000, 0.000000, 13-Feb-2000
0.213163, 2.295224, 0.684000, 0.145804, 14-Feb-2000
0.213490, 2.295224, 0.679000, 0.144960, 15-Feb-2000
0.000327, 2.508388, 0.672000, 0.000219, 16-Feb-2000
0.000000, 2.508714, 0.692000, 0.000000, 17-Feb-2000
0.000000, 2.508714, 0.753000, 0.000000, 18-Feb-2000
0.000000, 2.508714, 0.753000, 0.000000, 19-Feb-2000
0.000000, 2.508622, 0.695000, 0.000000, 20-Feb-2000
0.000000, 2.508541, 0.409000, 0.000000, 21-Feb-2000
0.000000, 2.508541, 0.459000, 0.000000, 22-Feb-2000
0.000000, 2.508541, 0.524000, 0.000000, 23-Feb-2000
0.000000, 2.459918, 0.614000, 0.000000, 24-Feb-2000
0.000000, 2.459918, 0.638000, 0.000000, 25-Feb-2000
0.000000, 2.449327, 0.638000, 0.000000, 26-Feb-2000
0.004327, 2.449286, 0.656000, 0.002838, 27-Feb-2000
0.004327, 2.449286, 0.656000, 0.002838, 28-Feb-2000
0.000000, 2.453612, 0.602000, 0.000000, 29-Feb-2000
0.000000, 2.453612, 0.602000, 0.000000, 01-Mar-2000
0.000000, 2.453612, 0.652000, 0.000000, 02-Mar-2000
0.000000, 2.453612, 0.754000, 0.000000, 03-Mar-2000
0.000010, 2.453612, 0.754000, 0.000008, 04-Mar-2000
0.000010, 2.453612, 0.695000, 0.000007, 05-Mar-2000
0.000000, 2.453622, 0.649000, 0.000000, 06-Mar-2000
0.000000, 2.441143, 0.606000, 0.000000, 07-Mar-2000
0.000122, 2.441143, 0.697000, 0.000085, 08-Mar-2000
0.000122, 2.441143, 0.699000, 0.000086, 09-Mar-2000
0.000000, 2.441265, 0.808000, 0.000000, 10-Mar-2000
0.000000, 2.441265, 0.808000, 0.000000, 11-Mar-2000
0.004816, 2.441265, 0.694000, 0.003343, 12-Mar-2000
0.004816, 2.441265, 0.551000, 0.002654, 13-Mar-2000
0.000031, 2.360929, 0.632000, 0.000019, 14-Mar-2000
0.048714, 2.335786, 0.749000, 0.036487, 15-Mar-2000
0.090184, 2.307092, 0.776000, 0.069983, 16-Mar-2000
0.085153, 2.337265, 0.776000, 0.066079, 17-Mar-2000
0.125408, 2.051276, 0.587000, 0.073615, 18-Mar-2000
0.153398, 1.614735, 0.722000, 0.110753, 19-Mar-2000
0.074224, 1.696490, 0.722000, 0.053590, 20-Mar-2000
0.002582, 1.767337, 0.572000, 0.001477, 21-Mar-2000
0.000061, 1.769918, 0.511000, 0.000031, 22-Mar-2000
0.000061, 1.696143, 0.616000, 0.000038, 23-Mar-2000
0.000000, 1.685316, 0.747000, 0.000000, 24-Mar-2000
0.000000, 1.685316, 0.768000, 0.000000, 25-Mar-2000
