nyr:,200
SLR (m), Pchng (cm), pi_0, N_d, SD, SE,min,max
0.000, 0.000, 0.1,  0.430,  0.638,  0.045,  0.000,  3.000
0.000, 0.000, 0.2,  0.360,  0.585,  0.041,  0.000,  3.000
0.000, 0.000, 0.3,  0.305,  0.523,  0.037,  0.000,  2.000
0.000, 0.000, 0.4,  0.285,  0.515,  0.036,  0.000,  2.000
0.000, 0.000, 0.5,  0.255,  0.501,  0.035,  0.000,  2.000
0.020, 0.000, 0.1,  0.520,  0.757,  0.054,  0.000,  4.000
0.020, 0.000, 0.2,  0.445,  0.640,  0.045,  0.000,  3.000
0.020, 0.000, 0.3,  0.385,  0.607,  0.043,  0.000,  3.000
0.020, 0.000, 0.4,  0.360,  0.576,  0.041,  0.000,  2.000
0.020, 0.000, 0.5,  0.315,  0.545,  0.039,  0.000,  2.000
0.040, 0.000, 0.1,  0.630,  0.829,  0.059,  0.000,  4.000
0.040, 0.000, 0.2,  0.530,  0.756,  0.053,  0.000,  4.000
0.040, 0.000, 0.3,  0.470,  0.672,  0.048,  0.000,  3.000
0.040, 0.000, 0.4,  0.430,  0.638,  0.045,  0.000,  3.000
0.040, 0.000, 0.5,  0.400,  0.626,  0.044,  0.000,  3.000
0.060, 0.000, 0.1,  0.700,  0.874,  0.062,  0.000,  4.000
0.060, 0.000, 0.2,  0.610,  0.813,  0.057,  0.000,  4.000
0.060, 0.000, 0.3,  0.535,  0.756,  0.053,  0.000,  4.000
0.060, 0.000, 0.4,  0.490,  0.709,  0.050,  0.000,  4.000
0.060, 0.000, 0.5,  0.455,  0.640,  0.045,  0.000,  3.000
0.080, 0.000, 0.1,  0.810,  0.926,  0.066,  0.000,  5.000
0.080, 0.000, 0.2,  0.715,  0.859,  0.061,  0.000,  4.000
0.080, 0.000, 0.3,  0.645,  0.826,  0.058,  0.000,  4.000
0.080, 0.000, 0.4,  0.585,  0.765,  0.054,  0.000,  4.000
0.080, 0.000, 0.5,  0.540,  0.736,  0.052,  0.000,  4.000
0.100, 0.000, 0.1,  1.000,  1.008,  0.071,  0.000,  5.000
0.100, 0.000, 0.2,  0.805,  0.901,  0.064,  0.000,  4.000
0.100, 0.000, 0.3,  0.750,  0.884,  0.063,  0.000,  4.000
0.100, 0.000, 0.4,  0.705,  0.855,  0.060,  0.000,  4.000
0.100, 0.000, 0.5,  0.655,  0.824,  0.058,  0.000,  4.000
0.120, 0.000, 0.1,  1.160,  1.091,  0.077,  0.000,  5.000
0.120, 0.000, 0.2,  0.995,  1.020,  0.072,  0.000,  5.000
0.120, 0.000, 0.3,  0.840,  0.932,  0.066,  0.000,  4.000
0.120, 0.000, 0.4,  0.780,  0.909,  0.064,  0.000,  4.000
0.120, 0.000, 0.5,  0.745,  0.897,  0.063,  0.000,  4.000
0.140, 0.000, 0.1,  1.395,  1.211,  0.086,  0.000,  5.000
0.140, 0.000, 0.2,  1.165,  1.088,  0.077,  0.000,  5.000
0.140, 0.000, 0.3,  1.030,  1.041,  0.074,  0.000,  5.000
0.140, 0.000, 0.4,  0.915,  0.996,  0.070,  0.000,  5.000
0.140, 0.000, 0.5,  0.815,  0.908,  0.064,  0.000,  4.000
0.160, 0.000, 0.1,  1.590,  1.316,  0.093,  0.000,  6.000
0.160, 0.000, 0.2,  1.335,  1.187,  0.084,  0.000,  5.000
0.160, 0.000, 0.3,  1.180,  1.097,  0.078,  0.000,  5.000
0.160, 0.000, 0.4,  1.080,  1.067,  0.075,  0.000,  5.000
0.160, 0.000, 0.5,  0.995,  1.020,  0.072,  0.000,  5.000
0.180, 0.000, 0.1,  1.745,  1.352,  0.096,  0.000,  6.000
0.180, 0.000, 0.2,  1.535,  1.287,  0.091,  0.000,  6.000
0.180, 0.000, 0.3,  1.380,  1.205,  0.085,  0.000,  5.000
0.180, 0.000, 0.4,  1.240,  1.131,  0.080,  0.000,  5.000
0.180, 0.000, 0.5,  1.165,  1.074,  0.076,  0.000,  5.000
0.200, 0.000, 0.1,  1.910,  1.364,  0.096,  0.000,  6.000
0.200, 0.000, 0.2,  1.700,  1.349,  0.095,  0.000,  6.000
0.200, 0.000, 0.3,  1.585,  1.316,  0.093,  0.000,  6.000
0.200, 0.000, 0.4,  1.460,  1.267,  0.090,  0.000,  6.000
0.200, 0.000, 0.5,  1.295,  1.177,  0.083,  0.000,  5.000
0.220, 0.000, 0.1,  2.130,  1.508,  0.107,  0.000,  7.000
0.220, 0.000, 0.2,  1.900,  1.389,  0.098,  0.000,  7.000
0.220, 0.000, 0.3,  1.775,  1.394,  0.099,  0.000,  6.000
0.220, 0.000, 0.4,  1.660,  1.354,  0.096,  0.000,  6.000
0.220, 0.000, 0.5,  1.535,  1.314,  0.093,  0.000,  6.000
0.240, 0.000, 0.1,  2.330,  1.592,  0.113,  0.000,  7.000
0.240, 0.000, 0.2,  2.115,  1.488,  0.105,  0.000,  7.000
0.240, 0.000, 0.3,  1.950,  1.395,  0.099,  0.000,  7.000
0.240, 0.000, 0.4,  1.835,  1.399,  0.099,  0.000,  6.000
0.240, 0.000, 0.5,  1.720,  1.386,  0.098,  0.000,  6.000
0.260, 0.000, 0.1,  2.575,  1.658,  0.117,  0.000,  8.000
0.260, 0.000, 0.2,  2.290,  1.581,  0.112,  0.000,  7.000
0.260, 0.000, 0.3,  2.155,  1.527,  0.108,  0.000,  7.000
0.260, 0.000, 0.4,  2.010,  1.428,  0.101,  0.000,  7.000
0.260, 0.000, 0.5,  1.915,  1.421,  0.100,  0.000,  7.000
0.280, 0.000, 0.1,  2.840,  1.852,  0.131,  0.000, 10.000
0.280, 0.000, 0.2,  2.520,  1.638,  0.116,  0.000,  8.000
0.280, 0.000, 0.3,  2.325,  1.585,  0.112,  0.000,  7.000
0.280, 0.000, 0.4,  2.200,  1.524,  0.108,  0.000,  7.000
0.280, 0.000, 0.5,  2.095,  1.472,  0.104,  0.000,  7.000
0.300, 0.000, 0.1,  3.080,  1.903,  0.135,  0.000, 10.000
0.300, 0.000, 0.2,  2.785,  1.810,  0.128,  0.000, 10.000
0.300, 0.000, 0.3,  2.545,  1.644,  0.116,  0.000,  8.000
0.300, 0.000, 0.4,  2.400,  1.610,  0.114,  0.000,  7.000
0.300, 0.000, 0.5,  2.245,  1.525,  0.108,  0.000,  7.000
0.320, 0.000, 0.1,  3.375,  2.026,  0.143,  0.000, 10.000
0.320, 0.000, 0.2,  3.020,  1.897,  0.134,  0.000, 10.000
0.320, 0.000, 0.3,  2.830,  1.849,  0.131,  0.000, 10.000
0.320, 0.000, 0.4,  2.630,  1.711,  0.121,  0.000,  9.000
0.320, 0.000, 0.5,  2.470,  1.629,  0.115,  0.000,  8.000
0.340, 0.000, 0.1,  3.650,  2.071,  0.146,  0.000, 10.000
0.340, 0.000, 0.2,  3.280,  1.970,  0.139,  0.000, 10.000
0.340, 0.000, 0.3,  3.055,  1.900,  0.134,  0.000, 10.000
0.340, 0.000, 0.4,  2.875,  1.875,  0.133,  0.000, 10.000
0.340, 0.000, 0.5,  2.715,  1.780,  0.126,  0.000, 10.000
0.360, 0.000, 0.1,  4.110,  2.257,  0.160,  0.000, 11.000
0.360, 0.000, 0.2,  3.590,  2.070,  0.146,  0.000, 10.000
0.360, 0.000, 0.3,  3.345,  2.002,  0.142,  0.000, 10.000
0.360, 0.000, 0.4,  3.125,  1.899,  0.134,  0.000, 10.000
0.360, 0.000, 0.5,  2.970,  1.894,  0.134,  0.000, 10.000
0.380, 0.000, 0.1,  4.590,  2.392,  0.169,  0.000, 11.000
0.380, 0.000, 0.2,  4.000,  2.221,  0.157,  0.000, 11.000
0.380, 0.000, 0.3,  3.630,  2.070,  0.146,  0.000, 10.000
0.380, 0.000, 0.4,  3.445,  2.012,  0.142,  0.000, 10.000
0.380, 0.000, 0.5,  3.220,  1.937,  0.137,  0.000, 10.000
0.400, 0.000, 0.1,  5.185,  2.587,  0.183,  0.000, 12.000
0.400, 0.000, 0.2,  4.470,  2.393,  0.169,  0.000, 11.000
0.400, 0.000, 0.3,  4.065,  2.231,  0.158,  0.000, 11.000
0.400, 0.000, 0.4,  3.735,  2.102,  0.149,  0.000, 10.000
0.400, 0.000, 0.5,  3.520,  2.042,  0.144,  0.000, 10.000
0.420, 0.000, 0.1,  5.895,  2.784,  0.197,  0.000, 13.000
0.420, 0.000, 0.2,  5.025,  2.505,  0.177,  0.000, 12.000
0.420, 0.000, 0.3,  4.550,  2.389,  0.169,  0.000, 11.000
0.420, 0.000, 0.4,  4.185,  2.286,  0.162,  0.000, 11.000
0.420, 0.000, 0.5,  3.925,  2.171,  0.154,  0.000, 11.000
0.440, 0.000, 0.1,  6.850,  2.905,  0.205,  1.000, 15.000
0.440, 0.000, 0.2,  5.690,  2.743,  0.194,  0.000, 12.000
0.440, 0.000, 0.3,  5.130,  2.564,  0.181,  0.000, 12.000
0.440, 0.000, 0.4,  4.705,  2.441,  0.173,  0.000, 11.000
0.440, 0.000, 0.5,  4.385,  2.320,  0.164,  0.000, 11.000
0.460, 0.000, 0.1,  7.730,  3.102,  0.219,  1.000, 16.000
0.460, 0.000, 0.2,  6.590,  2.895,  0.205,  0.000, 15.000
0.460, 0.000, 0.3,  5.805,  2.779,  0.197,  0.000, 12.000
0.460, 0.000, 0.4,  5.335,  2.655,  0.188,  0.000, 12.000
0.460, 0.000, 0.5,  4.900,  2.498,  0.177,  0.000, 12.000
0.480, 0.000, 0.1,  8.880,  3.280,  0.232,  2.000, 19.000
0.480, 0.000, 0.2,  7.505,  3.079,  0.218,  1.000, 16.000
0.480, 0.000, 0.3,  6.725,  2.899,  0.205,  1.000, 15.000
0.480, 0.000, 0.4,  6.100,  2.811,  0.199,  0.000, 14.000
0.480, 0.000, 0.5,  5.590,  2.713,  0.192,  0.000, 12.000
0.500, 0.000, 0.1, 10.220,  3.480,  0.246,  3.000, 20.000
0.500, 0.000, 0.2,  8.640,  3.278,  0.232,  2.000, 19.000
