SLR (m), Pchng (cm), pi, N_d, SD, SE
0,0,0.1,0.625,0.853,0.06
0,0,0.2,0.535,0.776,0.055
0,0,0.3,0.47,0.722,0.051
0,0,0.4,0.4,0.634,0.045
0,0,0.5,0.345,0.606,0.043
0.02,0,0.1,0.75,0.939,0.066
0.02,0,0.2,0.62,0.848,0.06
0.02,0,0.3,0.555,0.787,0.056
0.02,0,0.4,0.485,0.73,0.052
0.02,0,0.5,0.44,0.677,0.048
0.04,0,0.1,0.895,1.058,0.075
0.04,0,0.2,0.69,0.888,0.063
0.04,0,0.3,0.63,0.858,0.061
0.04,0,0.4,0.575,0.805,0.057
0.04,0,0.5,0.525,0.756,0.053
0.06,0,0.1,1.05,1.151,0.081
0.06,0,0.2,0.84,1.01,0.071
0.06,0,0.3,0.725,0.935,0.066
0.06,0,0.4,0.68,0.918,0.065
0.06,0,0.5,0.615,0.849,0.06
0.08,0,0.1,1.18,1.214,0.086
0.08,0,0.2,0.995,1.141,0.081
0.08,0,0.3,0.855,1.029,0.073
0.08,0,0.4,0.745,0.951,0.067
0.08,0,0.5,0.7,0.93,0.066
0.1,0,0.1,1.355,1.236,0.087
0.1,0,0.2,1.15,1.181,0.084
0.1,0,0.3,1.025,1.154,0.082
0.1,0,0.4,0.905,1.04,0.074
0.1,0,0.5,0.815,0.998,0.071
0.12,0,0.1,1.55,1.31,0.093
0.12,0,0.2,1.28,1.261,0.089
0.12,0,0.3,1.165,1.198,0.085
0.12,0,0.4,1.065,1.174,0.083
0.12,0,0.5,0.965,1.091,0.077
0.14,0,0.1,1.735,1.391,0.098
0.14,0,0.2,1.49,1.307,0.092
0.14,0,0.3,1.315,1.286,0.091
0.14,0,0.4,1.225,1.258,0.089
0.14,0,0.5,1.135,1.202,0.085
0.16,0,0.1,2.01,1.46,0.103
0.16,0,0.2,1.69,1.331,0.094
0.16,0,0.3,1.525,1.291,0.091
0.16,0,0.4,1.38,1.266,0.09
0.16,0,0.5,1.28,1.261,0.089
0.18,0,0.1,2.31,1.525,0.108
0.18,0,0.2,1.885,1.411,0.1
0.18,0,0.3,1.71,1.343,0.095
0.18,0,0.4,1.58,1.316,0.093
0.18,0,0.5,1.45,1.263,0.089
0.2,0,0.1,2.605,1.638,0.116
0.2,0,0.2,2.17,1.517,0.107
0.2,0,0.3,1.905,1.437,0.102
0.2,0,0.4,1.755,1.395,0.099
0.2,0,0.5,1.65,1.359,0.096
0.22,0,0.1,2.835,1.665,0.118
0.22,0,0.2,2.45,1.584,0.112
0.22,0,0.3,2.17,1.517,0.107
0.22,0,0.4,1.975,1.461,0.103
0.22,0,0.5,1.8,1.418,0.1
0.24,0,0.1,3.085,1.709,0.121
0.24,0,0.2,2.71,1.661,0.117
0.24,0,0.3,2.45,1.584,0.112
0.24,0,0.4,2.215,1.513,0.107
0.24,0,0.5,2.04,1.486,0.105
0.26,0,0.1,3.295,1.747,0.124
0.26,0,0.2,2.995,1.685,0.119
0.26,0,0.3,2.71,1.661,0.117
0.26,0,0.4,2.515,1.604,0.113
0.26,0,0.5,2.32,1.529,0.108
0.28,0,0.1,3.58,1.866,0.132
0.28,0,0.2,3.175,1.711,0.121
0.28,0,0.3,2.995,1.685,0.119
0.28,0,0.4,2.75,1.665,0.118
0.28,0,0.5,2.595,1.641,0.116
0.3,0,0.1,3.885,1.942,0.137
0.3,0,0.2,3.45,1.815,0.128
0.3,0,0.3,3.175,1.711,0.121
0.3,0,0.4,3.02,1.68,0.119
0.3,0,0.5,2.825,1.676,0.118
0.32,0,0.1,4.255,2.091,0.148
0.32,0,0.2,3.73,1.917,0.136
